title,rank,date,artist,trend
Kusura Bakma,47,1/4/2021,Tuğkan,MOVE_DOWN
LOST IN PARADISE,48,1/4/2021,"ALI, AKLO",MOVE_DOWN
ıslak kum,49,1/4/2021,Contra,MOVE_DOWN
BEBÉ,50,1/4/2021,"Camilo, El Alfa",NEW_ENTRY
Blue Jeans,1,1/5/2021,GANGGA,SAME_POSITION
Your New Boyfriend,2,1/5/2021,Wilbur Soot,SAME_POSITION
Mmmh,3,1/5/2021,KAI,SAME_POSITION
Dicked Down in Dallas,4,1/5/2021,Trey Lewis,MOVE_UP
Bir Sebebi Var,5,1/5/2021,İkilem,MOVE_DOWN
Mayonaka no Door / Stay With Me,6,1/5/2021,Miki Matsubara,SAME_POSITION
Violent,7,1/5/2021,carolesdaughter,SAME_POSITION
Resah Jadi Luka,8,1/5/2021,Daun Jatuh,SAME_POSITION
Boku no Sensou - TV Size,9,1/5/2021,Shinsei Kamattechan,SAME_POSITION
Vete Pal Carajo,10,1/5/2021,"Yan Block, Jay Wheeler, DJ Nelson",SAME_POSITION
Doomsday,11,1/5/2021,"MF DOOM, Pebbles The Invisible Girl",SAME_POSITION
All Caps,12,1/5/2021,"Madvillain, Madlib, MF DOOM",MOVE_UP
Astronaut In The Ocean,13,1/5/2021,Masked Wolf,MOVE_UP
Rapp Snitch Knishes,14,1/5/2021,"MF DOOM, Mr Fantastik",MOVE_UP
Hecha Pa' Mi,15,1/5/2021,Boza,MOVE_DOWN
Accordion,16,1/5/2021,"Madvillain, Madlib, MF DOOM",MOVE_UP
Given-Taken,17,1/5/2021,ENHYPEN,MOVE_UP
Hayloft,18,1/5/2021,Mother Mother,MOVE_DOWN
Sensitive,19,1/5/2021,Serena Isioma,MOVE_DOWN
Nega Chegando,20,1/5/2021,"O Boy da Seresta, Menor Nico",MOVE_DOWN
WITHOUT YOU,21,1/5/2021,The Kid LAROI,MOVE_DOWN
L-Gante Rkt,22,1/5/2021,"Papu DJ, L-Gante",MOVE_UP
Meia Noite,24,1/5/2021,Tarcísio do Acordeon,MOVE_DOWN
